=========================================================================================================================================================
Profit/loss report for WIG20 W1; transaction every BUY/SELL signal (at least W1 apart, if bought, need to be sold).
Buy date: 2005-12-25 | Buy price: 2596.16    | Sell date: 2006-03-05 | Sell price: 2941.38    | Profit: 345220.00  13.297 % | Duration: 70 days 00:00:00
Buy date: 2006-04-23 | Buy price: 3023.69    | Sell date: 2006-05-28 | Sell price: 3031.52    | Profit: 7830.00    0.259  % | Duration: 35 days 00:00:00
Buy date: 2006-07-30 | Buy price: 3024.01    | Sell date: 2006-10-01 | Sell price: 2914.20    | Profit: -109810.00 -3.631 % | Duration: 63 days 00:00:00
Buy date: 2006-10-08 | Buy price: 2918.83    | Sell date: 2007-01-07 | Sell price: 3285.49    | Profit: 366660.00  12.562 % | Duration: 91 days 00:00:00
Buy date: 2007-01-21 | Buy price: 3262.98    | Sell date: 2007-02-18 | Sell price: 3417.38    | Profit: 154400.00  4.732  % | Duration: 28 days 00:00:00
Buy date: 2007-02-25 | Buy price: 3374.21    | Sell date: 2007-03-04 | Sell price: 3508.99    | Profit: 134780.00  3.994  % | Duration: 7 days 00:00:00
Buy date: 2007-04-08 | Buy price: 3520.24    | Sell date: 2007-05-20 | Sell price: 3568.93    | Profit: 48690.00   1.383  % | Duration: 42 days 00:00:00
Buy date: 2007-06-03 | Buy price: 3554.52    | Sell date: 2007-07-29 | Sell price: 3825.11    | Profit: 270590.00  7.613  % | Duration: 56 days 00:00:00
Buy date: 2007-10-14 | Buy price: 3738.50    | Sell date: 2007-11-18 | Sell price: 3606.62    | Profit: -131880.00 -3.528 % | Duration: 35 days 00:00:00
Buy date: 2008-03-30 | Buy price: 2821.30    | Sell date: 2008-06-29 | Sell price: 2686.78    | Profit: -134520.00 -4.768 % | Duration: 91 days 00:00:00
Buy date: 2008-08-17 | Buy price: 2608.95    | Sell date: 2008-09-14 | Sell price: 2503.38    | Profit: -105570.00 -4.046 % | Duration: 28 days 00:00:00
Buy date: 2008-09-28 | Buy price: 2433.87    | Sell date: 2008-10-05 | Sell price: 2457.75    | Profit: 23880.00   0.981  % | Duration: 7 days 00:00:00
Buy date: 2008-12-14 | Buy price: 1732.74    | Sell date: 2009-07-12 | Sell price: 1828.27    | Profit: 95530.00   5.513  % | Duration: 210 days 00:00:00
Buy date: 2009-07-26 | Buy price: 1897.32    | Sell date: 2009-09-06 | Sell price: 2235.91    | Profit: 338590.00  17.846 % | Duration: 42 days 00:00:00
Buy date: 2009-10-25 | Buy price: 2272.37    | Sell date: 2009-11-01 | Sell price: 2412.18    | Profit: 139810.00  6.153  % | Duration: 7 days 00:00:00
Buy date: 2010-03-21 | Buy price: 2415.82    | Sell date: 2010-05-16 | Sell price: 2336.99    | Profit: -78830.00  -3.263 % | Duration: 56 days 00:00:00
Buy date: 2010-08-01 | Buy price: 2460.96    | Sell date: 2010-11-28 | Sell price: 2655.84    | Profit: 194880.00  7.919  % | Duration: 119 days 00:00:00
Buy date: 2010-12-12 | Buy price: 2712.09    | Sell date: 2010-12-19 | Sell price: 2763.26    | Profit: 51170.00   1.887  % | Duration: 7 days 00:00:00
Buy date: 2011-03-27 | Buy price: 2779.69    | Sell date: 2011-05-22 | Sell price: 2822.57    | Profit: 42880.00   1.543  % | Duration: 56 days 00:00:00
Buy date: 2011-10-23 | Buy price: 2300.65    | Sell date: 2012-04-08 | Sell price: 2286.53    | Profit: -14120.00  -0.614 % | Duration: 168 days 00:00:00
Buy date: 2012-06-24 | Buy price: 2233.38    | Sell date: 2012-11-04 | Sell price: 2320.08    | Profit: 86700.00   3.882  % | Duration: 133 days 00:00:00
